route_id,max_c_weekday,min_c_weekday,max_c_weekend,min_c_weekend
2119_1,142.5,76,142.5,81.42857143
2119_2,142.5,76,142.5,81.42857143
2001361_1,142.5,76,142.5,76
2001361_2,142.5,76,142.5,76
2001469_1,95,57,76,57
2001469_2,95,57,76,57
2001472_1,285,114,285,114
2001472_2,285,114,285,114
2001464_1,380,76,114,57
2001464_2,380,76,114,57
2002448_1,285,76,285,76
2002448_2,285,76,285,76
2120_1,190,190,190,190
2120_2,190,190,190,190
2001463_1,142.5,57,114,57
2001463_2,142.5,57,114,57
2001462_1,228,76,190,76
2001462_2,228,76,190,76
2001475_1,45.6,20.72727273,45.6,20.72727273
2001475_2,45.6,20.72727273,45.6,20.72727273
2001460_1,95,95,95,95
2001460_2,95,95,95,95
2000967_1,285,95,285,95
2000967_2,285,95,285,95
2001278_1,95,57,95,57
2001278_2,95,57,95,57
2001276_1,95,38,76,38
2001276_2,95,38,76,38
